dataset,task,model,model_family,trained_this_run,model_path,n_dev,n_test,n_folds,test_rmse,test_mae,test_oos_r2,test_directional_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_brier,test_log_loss,test_positive_rate_pred,test_roc_auc
dataset_return.csv,regression,tcn_small,deep_learning,False,models_saved_deep/dataset_return__tcn_small.pt,3160,790,124,0.013384967126356572,0.00945847388356924,-0.7930221557617188,0.47848101265822784,,,,,,,,
dataset_return.csv,regression,tcn_medium,deep_learning,False,models_saved_deep/dataset_return__tcn_medium.pt,3160,790,124,0.011227774556037675,0.008294312283396721,-0.26164865493774414,0.44050632911392407,,,,,,,,
dataset_return.csv,regression,tcn_large,deep_learning,False,models_saved_deep/dataset_return__tcn_large.pt,3160,790,124,0.009950556470477408,0.006870408542454243,0.009063541889190674,0.5329113924050632,,,,,,,,
dataset_return.csv,regression,nbeats_small,deep_learning,False,models_saved_deep/dataset_return__nbeats_small.pt,3160,790,124,0.012447613787424509,0.00922149233520031,-0.550683856010437,0.5101265822784811,,,,,,,,
dataset_return.csv,regression,nbeats_medium,deep_learning,False,models_saved_deep/dataset_return__nbeats_medium.pt,3160,790,124,0.01267786500589034,0.00910730380564928,-0.6085823774337769,0.4506329113924051,,,,,,,,
dataset_return.csv,regression,nbeats_large,deep_learning,False,models_saved_deep/dataset_return__nbeats_large.pt,3160,790,124,0.010831588209008132,0.007984466850757599,-0.17418181896209717,0.44556962025316454,,,,,,,,
dataset_return.csv,regression,kimi_small,deep_learning,False,models_saved_deep/dataset_return__kimi_small.pt,3160,790,124,0.017736112392916913,0.013464304618537426,-2.148240566253662,0.5455696202531646,,,,,,,,
dataset_return.csv,regression,kimi_medium,deep_learning,False,models_saved_deep/dataset_return__kimi_medium.pt,3160,790,124,0.014310871237604437,0.00969845149666071,-1.049666404724121,0.489873417721519,,,,,,,,
dataset_return.csv,regression,kimi_large,deep_learning,False,models_saved_deep/dataset_return__kimi_large.pt,3160,790,124,0.011575567955324174,0.008657320402562618,-0.3410212993621826,0.4253164556962025,,,,,,,,
dataset_direction.csv,classification,tcn_small,deep_learning,False,models_saved_deep/dataset_direction__tcn_small.pt,3160,790,124,,,,,0.4620253164556962,0.5621301775147929,0.21300448430493274,0.3089430894308943,0.25131391730999175,0.6957760837111245,0.2139240506329114,0.5068633329857128
dataset_direction.csv,classification,tcn_medium,deep_learning,False,models_saved_deep/dataset_direction__tcn_medium.pt,3160,790,124,,,,,0.5088607594936709,0.5611814345991561,0.5964125560538116,0.5782608695652174,0.25018004456934334,0.6935070193960722,0.6,0.49442069037438735
dataset_direction.csv,classification,tcn_large,deep_learning,False,models_saved_deep/dataset_direction__tcn_large.pt,3160,790,124,,,,,0.4873417721518987,0.5667752442996743,0.3901345291479821,0.46215139442231074,0.25002967971129286,0.6932065346234544,0.3886075949367089,0.5005898685994368
dataset_direction.csv,classification,nbeats_small,deep_learning,False,models_saved_deep/dataset_direction__nbeats_small.pt,3160,790,124,,,,,0.5012658227848101,0.5860927152317881,0.3968609865470852,0.4732620320855615,0.25213490127438365,0.697585857187541,0.3822784810126582,0.5226561685264366
dataset_direction.csv,classification,nbeats_medium,deep_learning,False,models_saved_deep/dataset_direction__nbeats_medium.pt,3160,790,124,,,,,0.5139240506329114,0.5906432748538012,0.452914798206278,0.5126903553299492,0.24980462332941133,0.6928113585361704,0.43291139240506327,0.5228647408488893
dataset_direction.csv,classification,nbeats_large,deep_learning,False,models_saved_deep/dataset_direction__nbeats_large.pt,3160,790,124,,,,,0.46582278481012657,0.62,0.13901345291479822,0.2271062271062271,0.2617655482352403,0.7186213879431612,0.12658227848101267,0.5140134529147982
dataset_direction.csv,classification,kimi_small,deep_learning,False,models_saved_deep/dataset_direction__kimi_small.pt,3160,790,124,,,,,0.5379746835443038,0.5780346820809249,0.672645739910314,0.6217616580310881,0.2487258906171733,0.6906657646770685,0.6569620253164556,0.5282159244968192
dataset_direction.csv,classification,kimi_medium,deep_learning,False,models_saved_deep/dataset_direction__kimi_medium.pt,3160,790,124,,,,,0.46962025316455697,0.5467128027681661,0.3542600896860987,0.42993197278911566,0.2578246682660771,0.7092903233706376,0.3658227848101266,0.5086036083011785
dataset_direction.csv,classification,kimi_large,deep_learning,False,models_saved_deep/dataset_direction__kimi_large.pt,3160,790,124,,,,,0.49873417721518987,0.5548245614035088,0.5672645739910314,0.5609756097560976,0.2524424880522272,0.6980456008198379,0.5772151898734177,0.47534935864010847
dataset_volatility.csv,regression,tcn_small,deep_learning,False,models_saved_deep/dataset_volatility__tcn_small.pt,3160,790,124,0.011561000044451536,0.008604387752711773,-2.865185499191284,0.6873417721518987,,,,,,,,
dataset_volatility.csv,regression,tcn_medium,deep_learning,False,models_saved_deep/dataset_volatility__tcn_medium.pt,3160,790,124,0.006919449969609403,0.005333653185516596,-0.38459479808807373,1.0,,,,,,,,
