dataset,task,model,model_path,trained_this_run,n_dev,n_test,n_folds,test_rmse,test_mae,test_oos_r2,test_directional_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
dataset_return.csv,regression,elastic_net_a001_l02,models_saved\dataset_return__elastic_net_a001_l02.pkl,False,3175,794,125,0.01001271038791576,0.0069399124135938114,0.0023447778908740613,0.5100755667506297,,,,,
dataset_return.csv,regression,elastic_net_a001_l05,models_saved\dataset_return__elastic_net_a001_l05.pkl,False,3175,794,125,0.010034311062032038,0.006920999245263232,-0.001964399086296753,0.5125944584382871,,,,,
dataset_return.csv,regression,elastic_net_a01_l05,models_saved\dataset_return__elastic_net_a01_l05.pkl,False,3175,794,125,0.010031655635031047,0.006873756667700776,-0.0014341601384242342,0.5642317380352645,,,,,
dataset_return.csv,regression,elastic_net_a01_l08,models_saved\dataset_return__elastic_net_a01_l08.pkl,False,3175,794,125,0.010031655635031047,0.006873756667700776,-0.0014341601384242342,0.5642317380352645,,,,,
dataset_return.csv,regression,elastic_net_a1_l05,models_saved\dataset_return__elastic_net_a1_l05.pkl,False,3175,794,125,0.010031655635031047,0.006873756667700776,-0.0014341601384242342,0.5642317380352645,,,,,
dataset_return.csv,regression,svr_rbf_c1_g01,models_saved\dataset_return__svr_rbf_c1_g01.pkl,False,3175,794,125,0.010425716506595554,0.007446185158348655,-0.08165557733684015,0.4924433249370277,,,,,
dataset_return.csv,regression,svr_rbf_c10_g01,models_saved\dataset_return__svr_rbf_c10_g01.pkl,False,3175,794,125,0.010425716506595554,0.007446185158348655,-0.08165557733684015,0.4924433249370277,,,,,
dataset_return.csv,regression,svr_rbf_c10_g001,models_saved\dataset_return__svr_rbf_c10_g001.pkl,False,3175,794,125,0.012799585319455459,0.009116706533531733,-0.6303054116535789,0.5113350125944585,,,,,
dataset_return.csv,regression,rf_d4_leaf3,models_saved\dataset_return__rf_d4_leaf3.pkl,False,3175,794,125,0.010116745798879135,0.006985507703013761,-0.018494871124237644,0.5604534005037783,,,,,
dataset_return.csv,regression,rf_d6_leaf5,models_saved\dataset_return__rf_d6_leaf5.pkl,False,3175,794,125,0.010111980598378928,0.00700070443921546,-0.017535631986494105,0.5491183879093199,,,,,
dataset_return.csv,regression,rf_d8_leaf10,models_saved\dataset_return__rf_d8_leaf10.pkl,False,3175,794,125,0.009964013591801173,0.006980667927974615,0.012025367930463049,0.5465994962216625,,,,,
dataset_return.csv,regression,xgb_d3_lr005,models_saved\dataset_return__xgb_d3_lr005.pkl,False,3175,794,125,0.010300500709498095,0.00713090642776241,-0.0558296253816819,0.517632241813602,,,,,
dataset_return.csv,regression,xgb_d5_lr005,models_saved\dataset_return__xgb_d5_lr005.pkl,False,3175,794,125,0.010404788024390087,0.007308638735062229,-0.07731732616143527,0.5025188916876574,,,,,
dataset_return.csv,regression,xgb_d5_lr01,models_saved\dataset_return__xgb_d5_lr01.pkl,False,3175,794,125,0.011031955820952758,0.007645934552495999,-0.21110612040635135,0.49748110831234255,,,,,
dataset_direction.csv,classification,logit_enet_c01_l02,models_saved\dataset_direction__logit_enet_c01_l02.pkl,False,3175,794,125,,,,,0.5125944584382871,0.5772151898734177,0.5089285714285714,0.5409252669039146,0.5085221407927333
dataset_direction.csv,classification,logit_enet_c1_l05,models_saved\dataset_direction__logit_enet_c1_l05.pkl,False,3175,794,125,,,,,0.5062972292191436,0.5740740740740741,0.484375,0.5254237288135594,0.5146573080099093
dataset_direction.csv,classification,logit_enet_c10_l08,models_saved\dataset_direction__logit_enet_c10_l08.pkl,False,3175,794,125,,,,,0.5113350125944585,0.5797872340425532,0.48660714285714285,0.529126213592233,0.5161927126341865
dataset_direction.csv,classification,svc_rbf_c1_g01,models_saved\dataset_direction__svc_rbf_c1_g01.pkl,False,3175,794,125,,,,,0.5478589420654912,0.5700787401574803,0.8080357142857143,0.6685133887349953,0.49585827828241125
dataset_direction.csv,classification,svc_rbf_c10_g01,models_saved\dataset_direction__svc_rbf_c10_g01.pkl,False,3175,794,125,,,,,0.517632241813602,0.5646123260437376,0.6339285714285714,0.5972660357518401,0.5038320602807597
dataset_direction.csv,classification,svc_rbf_c10_g001,models_saved\dataset_direction__svc_rbf_c10_g001.pkl,False,3175,794,125,,,,,0.5541561712846348,0.5723076923076923,0.8303571428571429,0.6775956284153005,0.4764721820809249
dataset_direction.csv,classification,rf_d4_leaf3,models_saved\dataset_direction__rf_d4_leaf3.pkl,False,3175,794,125,,,,,0.5604534005037783,0.566621803499327,0.9397321428571429,0.7069689336691856,0.4946841453344344
dataset_direction.csv,classification,rf_d6_leaf5,models_saved\dataset_direction__rf_d6_leaf5.pkl,False,3175,794,125,,,,,0.5617128463476071,0.5686813186813187,0.9241071428571429,0.7040816326530612,0.5123864574731627
dataset_direction.csv,classification,rf_d8_leaf10,models_saved\dataset_direction__rf_d8_leaf10.pkl,False,3175,794,125,,,,,0.552896725440806,0.564673157162726,0.90625,0.6958011996572407,0.5057351878612717
dataset_direction.csv,classification,xgbc_d3_lr005,models_saved\dataset_direction__xgbc_d3_lr005.pkl,False,3175,794,125,,,,,0.5453400503778337,0.5714285714285714,0.7767857142857143,0.6584673604541155,0.5124122625928984
dataset_direction.csv,classification,xgbc_d5_lr005,models_saved\dataset_direction__xgbc_d5_lr005.pkl,False,3175,794,125,,,,,0.5201511335012594,0.5595026642984015,0.703125,0.6231454005934718,0.4958647295623452
dataset_direction.csv,classification,xgbc_d5_lr01,models_saved\dataset_direction__xgbc_d5_lr01.pkl,False,3175,794,125,,,,,0.5201511335012594,0.5623836126629422,0.6741071428571429,0.6131979695431472,0.5037933526011561
dataset_volatility.csv,regression,elastic_net_a001_l02,models_saved\dataset_volatility__elastic_net_a001_l02.pkl,False,3175,794,125,0.004752392681259773,0.0029154969584842504,0.3492276243861646,1.0,,,,,
dataset_volatility.csv,regression,elastic_net_a001_l05,models_saved\dataset_volatility__elastic_net_a001_l05.pkl,False,3175,794,125,0.004753227220946846,0.002873625099289041,0.3489990477107847,1.0,,,,,
dataset_volatility.csv,regression,elastic_net_a01_l05,models_saved\dataset_volatility__elastic_net_a01_l05.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,
dataset_volatility.csv,regression,elastic_net_a01_l08,models_saved\dataset_volatility__elastic_net_a01_l08.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,
dataset_volatility.csv,regression,elastic_net_a1_l05,models_saved\dataset_volatility__elastic_net_a1_l05.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,
dataset_volatility.csv,regression,svr_rbf_c1_g01,models_saved\dataset_volatility__svr_rbf_c1_g01.pkl,False,3175,794,125,0.007784020602916573,0.006358300250605566,-0.7458721057605759,1.0,,,,,
dataset_volatility.csv,regression,svr_rbf_c10_g01,models_saved\dataset_volatility__svr_rbf_c10_g01.pkl,False,3175,794,125,0.007784020602916573,0.006358300250605566,-0.7458721057605759,1.0,,,,,
